Year,Component,AmbientCondPattern,EmConcept,EFA,EFA_WTW
2019,HC,"TØ,0-1h,0-1km",petrol (4S),0.67589426,
2019,HC,"TØ,0-1h,0-1km",diesel,0.027615037,
2019,HC,"TØ,0-1h,0-1km",electricity,0,
2019,HC,"TØ,0-1h,0-1km",bifuel CNG/petrol,0.02645877,
2019,HC,"TØ,0-1h,0-1km",flex-fuel E85,0.03653324,
2019,HC,"TØ,0-1h,0-1km",Plug-in Hybrid petrol/electric,0.108255871,
2019,HC,"TØ,1-2h,0-1km",petrol (4S),1.698364735,
2019,HC,"TØ,1-2h,0-1km",diesel,0.048373315,
2019,HC,"TØ,1-2h,0-1km",electricity,0,
2019,HC,"TØ,1-2h,0-1km",bifuel CNG/petrol,0.066851735,
2019,HC,"TØ,1-2h,0-1km",flex-fuel E85,0.092306279,
2019,HC,"TØ,1-2h,0-1km",Plug-in Hybrid petrol/electric,0.27352342,
2019,HC,"TØ,2-3h,0-1km",petrol (4S),2.151818991,
2019,HC,"TØ,2-3h,0-1km",diesel,0.054999314,
2019,HC,"TØ,2-3h,0-1km",electricity,0,
2019,HC,"TØ,2-3h,0-1km",bifuel CNG/petrol,0.084814183,
2019,HC,"TØ,2-3h,0-1km",flex-fuel E85,0.117107928,
2019,HC,"TØ,2-3h,0-1km",Plug-in Hybrid petrol/electric,0.347016692,
2019,HC,"TØ,3-4h,0-1km",petrol (4S),2.459584951,
2019,HC,"TØ,3-4h,0-1km",diesel,0.061449803,
2019,HC,"TØ,3-4h,0-1km",electricity,0,
2019,HC,"TØ,3-4h,0-1km",bifuel CNG/petrol,0.09699142,
2019,HC,"TØ,3-4h,0-1km",flex-fuel E85,0.133919209,
2019,HC,"TØ,3-4h,0-1km",Plug-in Hybrid petrol/electric,0.396840155,
2019,HC,"TØ,4-5h,0-1km",petrol (4S),2.680414677,
2019,HC,"TØ,4-5h,0-1km",diesel,0.066231973,
2019,HC,"TØ,4-5h,0-1km",electricity,0,
2019,HC,"TØ,4-5h,0-1km",bifuel CNG/petrol,0.105728313,
2019,HC,"TØ,4-5h,0-1km",flex-fuel E85,0.145979822,
2019,HC,"TØ,4-5h,0-1km",Plug-in Hybrid petrol/electric,0.432587564,
2019,HC,"TØ,5-6h,0-1km",petrol (4S),2.814697027,
2019,HC,"TØ,5-6h,0-1km",diesel,0.069550052,
2019,HC,"TØ,5-6h,0-1km",electricity,0,
2019,HC,"TØ,5-6h,0-1km",bifuel CNG/petrol,0.111025058,
2019,HC,"TØ,5-6h,0-1km",flex-fuel E85,0.153293073,
2019,HC,"TØ,5-6h,0-1km",Plug-in Hybrid petrol/electric,0.454259187,
2019,HC,"TØ,6-7h,0-1km",petrol (4S),2.948979378,
2019,HC,"TØ,6-7h,0-1km",diesel,0.072868116,
2019,HC,"TØ,6-7h,0-1km",electricity,0,
2019,HC,"TØ,6-7h,0-1km",bifuel CNG/petrol,0.116321795,
2019,HC,"TØ,6-7h,0-1km",flex-fuel E85,0.16060631,
2019,HC,"TØ,6-7h,0-1km",Plug-in Hybrid petrol/electric,0.47593081,
2019,HC,"TØ,7-8h,0-1km",petrol (4S),3.083262205,
2019,HC,"TØ,7-8h,0-1km",diesel,0.076186188,
2019,HC,"TØ,7-8h,0-1km",electricity,0,
2019,HC,"TØ,7-8h,0-1km",bifuel CNG/petrol,0.121618547,
2019,HC,"TØ,7-8h,0-1km",flex-fuel E85,0.167919561,
2019,HC,"TØ,7-8h,0-1km",Plug-in Hybrid petrol/electric,0.497602463,
2019,HC,"TØ,8-9h,0-1km",petrol (4S),3.217544556,
2019,HC,"TØ,8-9h,0-1km",diesel,0.079504266,
2019,HC,"TØ,8-9h,0-1km",electricity,0,
2019,HC,"TØ,8-9h,0-1km",bifuel CNG/petrol,0.126915276,
2019,HC,"TØ,8-9h,0-1km",flex-fuel E85,0.175232828,
2019,HC,"TØ,8-9h,0-1km",Plug-in Hybrid petrol/electric,0.519274116,
2019,HC,"TØ,9-10h,0-1km",petrol (4S),3.351827145,
2019,HC,"TØ,9-10h,0-1km",diesel,0.082822323,
2019,HC,"TØ,9-10h,0-1km",electricity,0,
2019,HC,"TØ,9-10h,0-1km",bifuel CNG/petrol,0.132212013,
2019,HC,"TØ,9-10h,0-1km",flex-fuel E85,0.182546064,
2019,HC,"TØ,9-10h,0-1km",Plug-in Hybrid petrol/electric,0.540945709,
2019,HC,"TØ,10-11h,0-1km",petrol (4S),3.486109972,
2019,HC,"TØ,10-11h,0-1km",diesel,0.086140394,
2019,HC,"TØ,10-11h,0-1km",electricity,0,
2019,HC,"TØ,10-11h,0-1km",bifuel CNG/petrol,0.137508765,
2019,HC,"TØ,10-11h,0-1km",flex-fuel E85,0.189859316,
2019,HC,"TØ,10-11h,0-1km",Plug-in Hybrid petrol/electric,0.562617302,
2019,HC,"TØ,11-12h,0-1km",petrol (4S),3.620392323,
2019,HC,"TØ,11-12h,0-1km",diesel,0.089458466,
2019,HC,"TØ,11-12h,0-1km",electricity,0,
2019,HC,"TØ,11-12h,0-1km",bifuel CNG/petrol,0.142805502,
2019,HC,"TØ,11-12h,0-1km",flex-fuel E85,0.197172567,
2019,HC,"TØ,11-12h,0-1km",Plug-in Hybrid petrol/electric,0.584289014,
2019,HC,"TØ,>12h,0-1km",petrol (4S),3.687533617,
2019,HC,"TØ,>12h,0-1km",diesel,0.091117486,
2019,HC,"TØ,>12h,0-1km",electricity,0,
2019,HC,"TØ,>12h,0-1km",bifuel CNG/petrol,0.14545387,
2019,HC,"TØ,>12h,0-1km",flex-fuel E85,0.200829178,
2019,HC,"TØ,>12h,0-1km",Plug-in Hybrid petrol/electric,0.595124841,
2019,HC,"TØ,0-1h,1-2km",petrol (4S),0.682031512,
2019,HC,"TØ,0-1h,1-2km",diesel,0.036817789,
2019,HC,"TØ,0-1h,1-2km",electricity,0,
2019,HC,"TØ,0-1h,1-2km",bifuel CNG/petrol,0.02645877,
2019,HC,"TØ,0-1h,1-2km",flex-fuel E85,0.03653324,
2019,HC,"TØ,0-1h,1-2km",Plug-in Hybrid petrol/electric,0.108255871,
2019,HC,"TØ,1-2h,1-2km",petrol (4S),1.718388796,
2019,HC,"TØ,1-2h,1-2km",diesel,0.091894299,
2019,HC,"TØ,1-2h,1-2km",electricity,0,
2019,HC,"TØ,1-2h,1-2km",bifuel CNG/petrol,0.066851735,
2019,HC,"TØ,1-2h,1-2km",flex-fuel E85,0.092306279,
2019,HC,"TØ,1-2h,1-2km",Plug-in Hybrid petrol/electric,0.27352342,
2019,HC,"TØ,2-3h,1-2km",petrol (4S),2.176947594,
2019,HC,"TØ,2-3h,1-2km",diesel,0.113425151,
2019,HC,"TØ,2-3h,1-2km",electricity,0,
2019,HC,"TØ,2-3h,1-2km",bifuel CNG/petrol,0.084814191,
2019,HC,"TØ,2-3h,1-2km",flex-fuel E85,0.117108151,
2019,HC,"TØ,2-3h,1-2km",Plug-in Hybrid petrol/electric,0.347016692,
2019,HC,"TØ,3-4h,1-2km",petrol (4S),2.488708019,
2019,HC,"TØ,3-4h,1-2km",diesel,0.128527179,
2019,HC,"TØ,3-4h,1-2km",electricity,0,
2019,HC,"TØ,3-4h,1-2km",bifuel CNG/petrol,0.096991532,
2019,HC,"TØ,3-4h,1-2km",flex-fuel E85,0.133922145,
