scenario,municipality,code,cartype,cars_in_use
reference_2019,Danderyd,162,Gasoline,8435.414418
reference_2019,Solna,184,Gasoline,16605.75549
reference_2019,Nacka,182,Gasoline,25820.64697
reference_2019,Stockholm,180,Gasoline,181370.7419
reference_2019,Sollentuna,163,Gasoline,17926.79323
reference_2019,Täby,160,Gasoline,19020.55141
reference_2019,Ekerö,125,Gasoline,8213.61022
reference_2019,Lidingö,186,Gasoline,11229.34327
reference_2019,Vaxholm,187,Gasoline,3126.571318
reference_2019,Österåker,117,Gasoline,13289.81011
reference_2019,Vallentuna,115,Gasoline,10035.21197
reference_2019,Värmdö,120,Gasoline,12149.46446
reference_2019,Södertälje,181,Gasoline,29116.32759
reference_2019,Uppl. Väsby,114,Gasoline,12122.24823
reference_2019,Tyresö,138,Gasoline,11895.76948
reference_2019,Sundbyberg,183,Gasoline,10640.35545
reference_2019,Sigtuna,191,Gasoline,12423.01946
reference_2019,Järfälla,123,Gasoline,19450.13079
reference_2019,Huddinge,126,Gasoline,25433.4349
reference_2019,Uppl. Bro,139,Gasoline,7649.370265
reference_2019,Haninge,136,Gasoline,22146.73233
reference_2019,Salem,128,Gasoline,4299.851875
reference_2019,Botkyrka,127,Gasoline,20387.99679
reference_2019,Nynäshamn,192,Gasoline,7892.573344
reference_2019,Nykvarn,140,Gasoline,3637.449964
reference_2019,Norrtälje,188,Gasoline,21197.96029
reference_2019,Danderyd,162,Diesel,7374.31801
reference_2019,Solna,184,Diesel,19360.38944
reference_2019,Nacka,182,Diesel,20255.625
reference_2019,Stockholm,180,Diesel,147814.4899
reference_2019,Sollentuna,163,Diesel,13150.8943
reference_2019,Täby,160,Diesel,10429.87767
reference_2019,Ekerö,125,Diesel,4224.056132
reference_2019,Lidingö,186,Diesel,5965.178846
reference_2019,Vaxholm,187,Diesel,1930.466654
reference_2019,Österåker,117,Diesel,7059.834867
reference_2019,Vallentuna,115,Diesel,5507.337213
reference_2019,Värmdö,120,Diesel,6110.392087
reference_2019,Södertälje,181,Diesel,16869.36332
reference_2019,Uppl. Väsby,114,Diesel,6048.993778
reference_2019,Tyresö,138,Diesel,5347.759581
reference_2019,Sundbyberg,183,Diesel,4366.183377
reference_2019,Sigtuna,191,Diesel,6867.107357
reference_2019,Järfälla,123,Diesel,9421.871285
reference_2019,Huddinge,126,Diesel,12263.75999
reference_2019,Uppl. Bro,139,Diesel,4203.426668
reference_2019,Haninge,136,Diesel,10814.06622
reference_2019,Salem,128,Diesel,2086.426015
reference_2019,Botkyrka,127,Diesel,9593.693626
reference_2019,Nynäshamn,192,Diesel,4296.922796
reference_2019,Nykvarn,140,Diesel,1851.354605
reference_2019,Norrtälje,188,Diesel,11495.49626
reference_2019,Danderyd,162,PHEV,1160.762958
reference_2019,Solna,184,PHEV,4429.078844
reference_2019,Nacka,182,PHEV,3054.371338
reference_2019,Stockholm,180,PHEV,17882.55005
reference_2019,Sollentuna,163,PHEV,1594.996704
reference_2019,Täby,160,PHEV,659.7363468
reference_2019,Ekerö,125,PHEV,206.3215409
reference_2019,Lidingö,186,PHEV,421.6173077
reference_2019,Vaxholm,187,PHEV,100.5975328
reference_2019,Österåker,117,PHEV,313.4578737
reference_2019,Vallentuna,115,PHEV,236.5608198
reference_2019,Värmdö,120,PHEV,330.4815053
reference_2019,Södertälje,181,PHEV,1354.43726
reference_2019,Uppl. Väsby,114,PHEV,227.4437834
reference_2019,Tyresö,138,PHEV,244.6819014
reference_2019,Sundbyberg,183,PHEV,853.1739158
reference_2019,Sigtuna,191,PHEV,267.6939467
reference_2019,Järfälla,123,PHEV,284.4031867
reference_2019,Huddinge,126,PHEV,523.3050441
