year,component,cartype,temperature,lower_p_bound,upper_p_bound,lambda,M_tot
2019,BC (exhaust),Diesel,20,0,1,0.753612947,0.000731457
2019,BC (exhaust),Diesel,20,1,2,0.494839855,0.001858841
2019,BC (exhaust),Diesel,20,2,3,0.425048112,0.002341073
2019,BC (exhaust),Diesel,20,3,8,0.417437131,0.002674762
2019,BC (exhaust),Diesel,20,8,1000,0.501553249,0.004051113
2019,Benzene,Diesel,20,0,1,2.677227265,0.000307048
2019,Benzene,Gasoline,20,0,1,10.38501532,0.018420819
2019,Benzene,PHEV,20,0,1,20,0.002958142
2019,Benzene,Diesel,20,1,2,1.596589541,0.0007758
2019,Benzene,Gasoline,20,1,2,9.163014073,0.046542749
2019,Benzene,PHEV,20,1,2,20,0.007474155
2019,Benzene,Diesel,20,2,3,1.41599961,0.00098425
2019,Benzene,Gasoline,20,2,3,8.971883368,0.05904837
2019,Benzene,PHEV,20,2,3,20,0.009482393
2019,Benzene,Diesel,20,3,8,1.379108871,0.001125565
2019,Benzene,Gasoline,20,3,8,8.936172184,0.067526333
2019,Benzene,PHEV,20,3,8,20,0.010843842
2019,Benzene,Diesel,20,8,1000,1.301283493,0.001719611
2019,Benzene,Gasoline,20,8,1000,8.919351288,0.101266466
2019,Benzene,PHEV,20,8,1000,20,0.016262067
2019,CH4,Diesel,20,0,1,2.677212085,0.000629843
2019,CH4,Gasoline,20,0,1,7.803888391,0.015634518
2019,CH4,PHEV,20,0,1,20,0.00237607
2019,CH4,Diesel,20,1,2,1.596592976,0.001591384
2019,CH4,Gasoline,20,1,2,6.581563376,0.03950277
2019,CH4,PHEV,20,1,2,20,0.006003469
2019,CH4,Diesel,20,2,3,1.415998737,0.002018975
2019,CH4,Gasoline,20,2,3,6.389742765,0.050116807
2019,CH4,PHEV,20,2,3,20,0.007616548
2019,CH4,Diesel,20,3,8,1.318990882,0.002351546
2019,CH4,Gasoline,20,3,8,6.353832448,0.05731241
2019,CH4,PHEV,20,3,8,20,0.008710106
2019,CH4,Diesel,20,8,1000,1.301283107,0.00352741
