zone_id,mn_code,municipality
711401,114,Upplands Väsby
711402,114,Upplands Väsby
711403,114,Upplands Väsby
711404,114,Upplands Väsby
711405,114,Upplands Väsby
711406,114,Upplands Väsby
711407,114,Upplands Väsby
711408,114,Upplands Väsby
711409,114,Upplands Väsby
711410,114,Upplands Väsby
711411,114,Upplands Väsby
711412,114,Upplands Väsby
711413,114,Upplands Väsby
711414,114,Upplands Väsby
711416,114,Upplands Väsby
711417,114,Upplands Väsby
711418,114,Upplands Väsby
711419,114,Upplands Väsby
711420,114,Upplands Väsby
711421,114,Upplands Väsby
711422,114,Upplands Väsby
711423,114,Upplands Väsby
711424,114,Upplands Väsby
711425,114,Upplands Väsby
711426,114,Upplands Väsby
711427,114,Upplands Väsby
711428,114,Upplands Väsby
711429,114,Upplands Väsby
711501,115,Vallentuna
711502,115,Vallentuna
711503,115,Vallentuna
711504,115,Vallentuna
711505,115,Vallentuna
711506,115,Vallentuna
711507,115,Vallentuna
711508,115,Vallentuna
711509,115,Vallentuna
711510,115,Vallentuna
711511,115,Vallentuna
711512,115,Vallentuna
711513,115,Vallentuna
711514,115,Vallentuna
711515,115,Vallentuna
711516,115,Vallentuna
711517,115,Vallentuna
711518,115,Vallentuna
711519,115,Vallentuna
711520,115,Vallentuna
711521,115,Vallentuna
711522,115,Vallentuna
711523,115,Vallentuna
711524,115,Vallentuna
711525,115,Vallentuna
711526,115,Vallentuna
711527,115,Vallentuna
711716,117,Österåker
711717,117,Österåker
711720,117,Österåker
711701,117,Österåker
711702,117,Österåker
711703,117,Österåker
711704,117,Österåker
711705,117,Österåker
711706,117,Österåker
711707,117,Österåker
711708,117,Österåker
711709,117,Österåker
711710,117,Österåker
711711,117,Österåker
711712,117,Österåker
711713,117,Österåker
711714,117,Österåker
711715,117,Österåker
711721,117,Österåker
711722,117,Österåker
711724,117,Österåker
711725,117,Österåker
711726,117,Österåker
712001,120,Värmdö
712002,120,Värmdö
712003,120,Värmdö
712005,120,Värmdö
712006,120,Värmdö
712007,120,Värmdö
712008,120,Värmdö
712009,120,Värmdö
712010,120,Värmdö
712011,120,Värmdö
712012,120,Värmdö
712015,120,Värmdö
712019,120,Värmdö
712022,120,Värmdö
712023,120,Värmdö
712024,120,Värmdö
712025,120,Värmdö
712026,120,Värmdö
712027,120,Värmdö
712028,120,Värmdö
712029,120,Värmdö
712030,120,Värmdö
712301,123,Järfälla
712303,123,Järfälla
712304,123,Järfälla
712305,123,Järfälla
712314,123,Järfälla
712315,123,Järfälla
712319,123,Järfälla
712331,123,Järfälla
712333,123,Järfälla
712334,123,Järfälla
712306,123,Järfälla
712307,123,Järfälla
