code,los,speed_limit,v_avg,std_v,lower_bound,upper_bound
110081,1,80,82.8261345,4.06045311,79.16069875,1000
110082,2,80,75.495263,8.07968092,62.30330095,79.16069875
110083,3,80,49.1113389,21.3911701,32.2894785,62.30330095
110084,4,80,15.4676181,24.1193678,10.79516604,32.2894785
110085,5,80,6.12271398,11.0827923,0,10.79516604
110091,1,90,92.8261345,4.06045311,88.7106988,1000
110092,2,90,84.5952631,8.07968082,69.78769045,88.7106988
110093,3,90,54.9801178,22.9895476,36.44871265,69.78769045
110094,4,90,17.9173075,24.2868102,12.02001074,36.44871265
110095,5,90,6.12271398,11.0827923,0,12.02001074
110101,1,100,102.031573,3.85522575,97.41341805,1000
110102,2,100,92.7952631,8.07968101,76.55761305,97.41341805
110103,3,100,60.319963,20.0805251,39.11863525,76.55761305
110104,4,100,17.9173075,24.2868102,12.57491743,39.11863525
110105,5,100,7.23252735,16.3906557,0,12.57491743
110111,1,110,112.03168,3.85522561,106.960428,1000
110112,2,110,101.889176,9.99663436,84.0277331,106.960428
110113,3,110,66.1662902,21.0406523,42.04179885,84.0277331
110114,4,110,17.9173075,24.2868102,12.57491743,42.04179885
110115,5,110,7.23252735,16.3906557,0,12.57491743
110121,1,120,122.031573,3.85522578,116.5178545,1000
110122,2,120,111.004136,9.81830532,90.4617486,116.5178545
110123,3,120,69.9193612,27.3975132,43.91833435,90.4617486
110124,4,120,17.9173075,24.2868102,12.57491743,43.91833435
110125,5,120,7.23252735,16.3906557,0,12.57491743
110131,1,130,132.631573,3.8552256,126.674201,1000
110132,2,130,120.716829,8.50385023,99.57898545,126.674201
110133,3,130,78.4411419,29.0038284,48.1792247,99.57898545
110134,4,130,17.9173075,24.2868102,12.57491743,48.1792247
110135,5,130,7.23252735,16.3906557,0,12.57491743
110141,1,140,142.741621,14.9731894,137.198289,1000
110142,2,140,131.654957,14.8190024,108.6433414,137.198289
110143,3,140,85.6317258,29.7270222,51.77451665,108.6433414
110144,4,140,17.9173075,24.2868102,12.57491743,51.77451665
110145,5,140,7.23252735,16.3906557,0,12.57491743
112091,1,90,87.5019635,15.1763059,81.5840932,1000
112092,2,90,75.6662229,14.2878229,61.98566775,81.5840932
112093,3,90,48.3051126,23.9018832,33.11121005,61.98566775
112094,4,90,17.9173075,24.2868102,12.02001074,33.11121005
112095,5,90,6.12271398,11.0827923,0,12.02001074
112111,1,110,106.954458,15.4654587,98.96034035,1000
112112,2,110,90.9662227,14.2878227,75.7289543,98.96034035
112113,3,110,60.4916859,27.6740101,39.2044967,75.7289543
112114,4,110,17.9173075,24.2868102,12.57491743,39.2044967
112115,5,110,7.23252735,16.3906557,0,12.57491743
120061,1,60,62.0250694,8.93635978,56.83921935,1000
120062,2,60,51.6533693,17.3917517,41.44447125,56.83921935
120063,3,60,31.2355732,24.6324897,22.25279245,41.44447125
120064,4,60,13.2700117,16.4177966,9.552514185,22.25279245
120065,5,60,5.83501667,8.48019752,0,9.552514185
120071,1,70,70.9213652,16.9146963,65.43810685,1000
120072,2,70,59.9548485,18.0879398,49.0307619,65.43810685
120073,3,70,38.1066753,24.5035787,26.25222225,49.0307619
120074,4,70,14.3977692,18.657522,10.11639294,26.25222225
120075,5,70,5.83501667,8.48019752,0,10.11639294
120081,1,80,78.8754207,14.0342859,73.4208217,1000
120082,2,80,67.9662227,14.2878227,55.780975,73.4208217
120083,3,80,43.5957273,24.9223807,29.5316727,55.780975
120084,4,80,15.4676181,24.1193678,10.79516604,29.5316727
120085,5,80,6.12271398,11.0827923,0,10.79516604
120091,1,90,87.5019635,15.1763059,81.5840932,1000
120092,2,90,75.6662229,14.2878229,61.98566775,81.5840932
120093,3,90,48.3051126,23.9018832,31.88636535,61.98566775
120094,4,90,15.4676181,24.1193678,10.79516604,31.88636535
120095,5,90,6.12271398,11.0827923,0,10.79516604
120101,1,100,96.3931705,12.3518033,89.8296967,1000
120102,2,100,83.2662229,14.2878228,68.2834781,89.8296967
120103,3,100,53.3007333,24.9194437,35.6090204,68.2834781
120104,4,100,17.9173075,24.2868102,12.57491743,35.6090204
120105,5,100,7.23252735,16.3906557,0,12.57491743
120111,1,110,106.954458,15.4654587,98.96034035,1000
120112,2,110,90.9662227,14.2878227,75.7289543,98.96034035
120113,3,110,60.4916859,27.6740101,39.2044967,75.7289543
120114,4,110,17.9173075,24.2868102,12.57491743,39.2044967
120115,5,110,7.23252735,16.3906557,0,12.57491743
130051,1,50,48.9539158,9.81978214,44.25497055,1000
130052,2,50,39.5560253,18.5183233,32.21908805,44.25497055
130053,3,50,24.8821508,21.4293542,18.68023075,32.21908805
130054,4,50,12.4783107,15.1911807,9.156663685,18.68023075
130055,5,50,5.83501667,8.48019752,0,9.156663685
130061,1,60,57.9539157,9.81978213,52.54870325,1000
130062,2,60,47.1434908,19.824666,38.3605204,52.54870325
130063,3,60,29.57755,21.4724466,21.42378085,38.3605204
130064,4,60,13.2700117,16.4177966,9.552514185,21.42378085
130065,5,60,5.83501667,8.48019752,0,9.552514185
130071,1,70,66.9539156,9.81978214,60.40165685,1000
130072,2,70,53.8493981,20.8687045,45.42150145,60.40165685
130073,3,70,36.9936048,24.3843404,25.695687,45.42150145
130074,4,70,14.3977692,18.657522,10.11639294,25.695687
130075,5,70,5.83501667,8.48019752,0,10.11639294
130081,1,80,76.1417177,11.4160315,69.0717886,1000
130082,2,80,62.0018595,18.3417812,52.00916415,69.0717886
130083,3,80,42.0164688,27.7350577,28.74204345,52.00916415
130084,4,80,15.4676181,24.1193678,10.79516604,28.74204345
130085,5,80,6.12271398,11.0827923,0,10.79516604
130091,1,90,85.0788825,11.6759496,77.25398425,1000
130092,2,90,69.429086,18.5299339,58.1923992,77.25398425
130093,3,90,46.9557124,27.5829018,31.21166525,58.1923992
130094,4,90,15.4676181,24.1193678,10.79516604,31.21166525
130095,5,90,6.12271398,11.0827923,0,10.79516604
130101,1,100,94.0240743,11.9194182,85.5138553,1000
130102,2,100,77.0036363,18.1359079,63.6253596,85.5138553
130103,3,100,50.2470829,23.6190307,34.0821952,63.6253596
130104,4,100,17.9173075,24.2868102,12.57491743,34.0821952
130105,5,100,7.23252735,16.3906557,0,12.57491743
131051,1,50,43.0895459,16.7438425,38.7591133,1000
131052,2,50,34.4286807,21.3959461,28.4328118,38.7591133
131053,3,50,22.4369429,20.9774969,17.4576268,28.4328118
131054,4,50,12.4783107,15.1911807,9.156663685,17.4576268
131055,5,50,5.83501667,8.48019752,0,9.156663685
131061,1,60,51.2809688,19.0145398,46.14848775,1000
131062,2,60,41.0160067,21.2524011,33.8695346,46.14848775
131063,3,60,26.7230625,21.1724556,20.56677545,33.8695346
131064,4,60,14.4104884,16.1781479,10.12275254,20.56677545
131065,5,60,5.83501667,8.48019752,0,10.12275254
131071,1,70,60.2070095,19.573163,55.70109515,1000
131072,2,70,51.1951808,24.3109004,42.2871055,55.70109515
131073,3,70,33.3790302,24.3449345,23.8947593,42.2871055
131074,4,70,14.4104884,16.1781479,10.12275254,23.8947593
131075,5,70,5.83501667,8.48019752,0,10.12275254
131081,1,80,68.4521716,25.1051879,63.33943845,1000
131082,2,80,58.2267053,25.4436188,47.99847955,63.33943845
131083,3,80,37.7702538,27.2943748,26.3418379,47.99847955
131084,4,80,14.913422,20.5673092,10.51806799,26.3418379
131085,5,80,6.12271398,11.0827923,0,10.51806799
